filename,ID,count_StoExon,count_StoEnd,count_ExontoEnd,psi
TCGA-06-0210-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0210,52,86,56,0.614285714285714
TCGA-06-0210-02A-01R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0210,81,72,93,0.452830188679245
TCGA-06-0211-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0211,41,70,30,0.663507109004739
TCGA-06-0211-01B-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0211,45,88,44,0.664150943396226
TCGA-06-0211-02A-02R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0211,23,60,42,0.648648648648649
TCGA-06-0219-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0219,55,63,61,0.520661157024793
TCGA-06-0221-02A-11R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0221,42,15,27,0.303030303030303
TCGA-06-0238-01A-02R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0238,26,42,39,0.563758389261745
TCGA-06-0644-01A-02R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0644,67,81,82,0.520900321543408
TCGA-06-0645-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0645,32,57,39,0.616216216216216
TCGA-06-0646-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0646,63,60,49,0.517241379310345
TCGA-06-0649-01B-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0649,48,42,68,0.42
TCGA-06-0675-11A-32R-A36H-07_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0675,26,7,20,0.233333333333333
TCGA-06-0678-11A-32R-A36H-07_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0678,38,21,43,0.341463414634146
TCGA-06-0680-11A-32R-A36H-07_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0680,37,9,21,0.236842105263158
TCGA-06-0681-11A-41R-A36H-07_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0681,26,7,25,0.215384615384615
TCGA-06-0686-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0686,12,26,14,0.666666666666667
TCGA-06-0743-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0743,21,25,29,0.5
TCGA-06-0744-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0744,19,74,22,0.783068783068783
TCGA-06-0745-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0745,16,42,13,0.743362831858407
TCGA-06-0747-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0747,20,57,29,0.699386503067485
TCGA-06-0749-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0749,30,24,25,0.466019417475728
