ID_in_Cello2,Patient,Batch,geneSymbol,I_exon8_covbases,I_exon8_meandepth,I_exon9_covbases,I_exon9_meandepth,I_exon10_covbases,I_exon10_meandepth,I_form2_covbases,I_form2_meandepth,I_form4_covbases,I_form4_meandepth,R_exon8_covbases,R_exon8_meandepth,R_exon9_covbases,R_exon9_meandepth,R_exon10_covbases,R_exon10_meandepth,R_form2_covbases,R_form2_meandepth,R_form4_covbases,R_form4_meandepth,I_norm_form4,R_norm_form4,Source.x,I_11_10,I_11_9,I_11_8,I_10_9,I_9_8,R_11_10,R_11_9,R_11_8,R_10_9,R_9_8,I_psi,R_psi,RvI,Diff
PS060,R060,E,CD47,32,676.312,25,16.84,33,15.2121,32,676.312,58,15.91378103,32,583.906,25,33.68,33,17.697,32,583.906,58,24.58622414,0.023530236,0.042106476,NG2016,9,10,620,6,39,29,15,510,17,49,0.014308426,0.05380334,1.906193078,0.039494913
PS061,R061,E,CD47,32,624.438,25,24.48,33,20.4242,32,624.438,58,22.17238966,32,504.406,25,14.44,33,12.3333,32,504.406,58,13.24136034,0.035507752,0.026251393,NG2016,20,14,531,11,34,11,8,428,8,15,0.036297641,0.025056948,0.609221466,-0.011240693
PS063,R063,E,CD47,32,739.406,25,53.8,33,46.1212,32,739.406,58,49.43102759,32,693.281,25,21.72,33,12.1818,32,693.281,58,16.2930931,0.066852348,0.023501427,NG2016,49,25,681,32,74,16,12,637,7,43,0.067123288,0.024502297,0.534371398,-0.042620991
PS064,R064,E,CD47,32,386.281,25,30.16,33,31.3939,32,386.281,58,30.86204655,32,810.656,25,23.6,33,11.1818,32,810.656,58,16.53447241,0.079895326,0.02039641,NG2016,33,8,359,28,31,9,16,773,9,50,0.084183673,0.011508951,0.449162773,-0.072674722
PS065,R065,E,CD47,32,285.094,25,32.52,33,35.3333,32,285.094,58,34.12067069,32,291.844,25,73.48,33,82.6667,32,291.844,58,78.70691552,0.119682177,0.269688311,NG2016,34,6,251,23,36,88,7,214,65,80,0.119298246,0.291390728,2.303355705,0.172092483
PS066,R066,E,CD47,32,1548.66,25,39.72,33,27.0606,32,1548.66,58,32.51723793,32,364.625,25,28.24,33,24.0909,32,364.625,58,25.87930517,0.020997015,0.070975126,NG2016,32,22,1421,24,54,32,10,336,22,33,0.0220234,0.086956522,3.002745259,0.064933122
PS067,R067,E,CD47,32,758.594,25,33.84,33,12.7879,32,758.594,58,21.86208103,32,920.656,25,25.6,33,7.27273,32,920.656,58,15.17241534,0.028819212,0.016480005,NG2016,21,24,698,11,51,18,27,856,7,56,0.029207232,0.020594966,0.844780391,-0.008612267
PS068,R068,E,CD47,32,740.531,25,19.64,33,16.7576,32,740.531,58,18.00001379,32,878.875,25,54.52,33,59.9697,32,878.875,58,57.62069138,0.024306901,0.065561873,NG2016,20,15,698,11,41,45,15,752,32,104,0.027855153,0.056461731,2.152995547,0.028606578
PS070,R070,E,CD47,32,492.156,25,52.36,33,67.1818,32,492.156,58,60.7930931,32,787.188,25,95.2,33,121.273,32,787.188,58,110.0346379,0.123524031,0.139781905,NG2016,44,7,406,38,52,106,7,656,81,108,0.097777778,0.139107612,1.32639799,0.041329834
PS071,R071,E,CD47,32,1101.28,25,55.48,33,66.697,32,1101.28,58,61.86208621,32,1051.25,25,256.44,33,291.455,32,1051.25,58,276.3623276,0.056172895,0.262889253,NG2016,56,32,1010,33,67,318,22,759,240,272,0.052532833,0.295264624,4.876390367,0.242731791
